# URKit il2cpp class-name map - example
#
# Put the full dump in URKit\class_names.txt next to the game executable.
# Format:  [TypeDefIndex] obfuscated name = real name
# Lines that don't start with '[' (headers, comments) and blank lines are ignored.
#
# Same syntax as exports.txt: the [TypeDefIndex] is optional context and is
# not used for matching yet; only the obfuscated -> real name pair matters.
#
# When a game obfuscates class names (VRChat and friends do), URKit matches
# the names it reads from the runtime (il2cpp_class_get_name /
# il2cpp_type_get_name) against the left-hand side and reports your real name
# instead. Namespaces are part of the name, separated by a '.':
#
# [1234] Assembly-CSharp.GameManager = PlayerManager
# [5678] Assembly-CSharp.Oe3fAq2nXmK = Buddy.MovementController

[1234] Assembly-CSharp.GameManager = PlayerManager
[5678] Assembly-CSharp.Oe3fAq2nXmK = Buddy.MovementController
[9012] Assembly-CSharp.AsdfghQwerty = Social.InviteWindow
[3456] UnityEngine.UI.KjhgfSdfgh = CustomOpenVR_Action
[7890] Assembly-CSharp.ZxcvBnmLkjh = Avatar.PortableAnimator
[1112] Assembly-CSharp.GameManager = PlayerManager
[2223] Assembly-CSharp.KlmNopQrsTu = World.PortalSystem
[3334] Assembly-CSharp.VbNmXcvZasD = Networking.VoiceChannel
[4445] Assembly-CSharp.PolQweRtyUi = UIShared.MainMenu_Button_Row
[5556] Assembly-CSharp.MnbVcxZaLkj = Buddy.StatusPill_Icon

# Example of the optional lifecycle/UI extensions (same format):
# [9999] Assembly-CSharp.OpAsDfGhJk = Input.ChatBox_Keyboard

# A comment-only line, and a blank line above, are both skipped like exports.txt.
